                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.92311,                0.91719,                 1.3067,                0.77944,                0.60197,                0.70023,                0.47363,                 1.1085,                 1.1083,                 1.6126,             0.00061203,             0.00061203,             0.00061203
                     35,                0.92244,                0.90644,                 1.3091,                0.73371,                0.65265,                0.72666,                0.49993,                 1.1067,                 1.0251,                 1.6157,             0.00060303,             0.00060303,             0.00060303
                     36,                 0.9229,                0.89468,                 1.3031,                0.63765,                0.72586,                0.69493,                0.46719,                 1.1107,                 1.0103,                 1.5972,             0.00059403,             0.00059403,             0.00059403
                     37,                0.91273,                0.89004,                 1.3011,                 0.6785,                0.75219,                0.74302,                0.50932,                  1.113,                 1.0583,                 1.6316,             0.00058503,             0.00058503,             0.00058503
                     38,                0.91339,                0.87088,                 1.2956,                0.78414,                0.66574,                0.74919,                0.52071,                 1.0606,                 1.0449,                 1.5611,             0.00057603,             0.00057603,             0.00057603
                     39,                0.90953,                0.87121,                 1.3011,                0.72185,                 0.7492,                0.76661,                0.51569,                  1.149,                  1.008,                 1.6317,             0.00056703,             0.00056703,             0.00056703
                     40,                0.89901,                0.85399,                 1.2939,                0.68641,                0.72748,                0.74266,                0.52029,                 1.1277,                 1.0664,                 1.6042,             0.00055804,             0.00055804,             0.00055804
                     41,                0.89441,                0.85476,                 1.2865,                0.61201,                0.78275,                0.71795,                0.51132,                 1.0933,                  1.033,                 1.5726,             0.00054904,             0.00054904,             0.00054904
                     42,                0.88773,                0.83782,                 1.2808,                 0.6127,                0.67194,                0.66212,                0.45121,                 1.1315,                 1.1476,                 1.6501,             0.00054004,             0.00054004,             0.00054004
                     43,                0.88393,                0.83666,                 1.2763,                0.75329,                 0.7149,                0.76412,                 0.5165,                 1.0394,                  1.009,                 1.5346,             0.00053104,             0.00053104,             0.00053104
                     44,                0.88937,                0.84292,                 1.2806,                  0.733,                  0.747,                0.78102,                0.55651,                 1.0101,                0.96497,                 1.5106,             0.00052204,             0.00052204,             0.00052204
                     45,                0.86735,                0.80576,                 1.2674,                0.77477,                0.73736,                0.75794,                0.52035,                 1.0659,                0.98795,                 1.5707,             0.00051304,             0.00051304,             0.00051304
                     46,                0.85517,                0.80728,                 1.2626,                0.80277,                0.74734,                0.79004,                0.54394,                 1.0576,                0.96944,                 1.5453,             0.00050404,             0.00050404,             0.00050404
                     47,                0.85217,                0.79088,                  1.255,                0.75908,                0.70047,                0.71447,                0.50458,                 1.0416,                  1.064,                 1.5756,             0.00049504,             0.00049504,             0.00049504
                     48,                0.86247,                0.78876,                 1.2602,                0.77685,                0.63903,                 0.7095,                0.47332,                 1.1436,                 1.1349,                 1.6224,             0.00048604,             0.00048604,             0.00048604
                     49,                0.84966,                0.78665,                 1.2532,                0.76533,                 0.6854,                0.74251,                 0.5126,                 1.0957,                 1.0403,                 1.5774,             0.00047704,             0.00047704,             0.00047704
                     50,                0.83677,                0.77114,                 1.2457,                0.81691,                0.69994,                0.76837,                0.52644,                 1.1147,                 1.0293,                 1.6406,             0.00046804,             0.00046804,             0.00046804
                     51,                0.83122,                0.76842,                 1.2424,                0.75587,                0.70041,                0.71736,                0.48475,                 1.1058,                 1.0445,                 1.6365,             0.00045904,             0.00045904,             0.00045904
